"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1439047;9.2784;61.1728;901
;1439048;9.2969;61.1736;926
;1439049;9.3154;61.1743;938
;1439050;9.3339;61.1751;871
;1439051;9.3524;61.1759;865
;1439052;9.3709;61.1767;885
;1439053;9.3894;61.1774;917
;1439054;9.4079;61.1782;950
;1439055;9.4264;61.179;983
;1439056;9.4449;61.1797;906
;1439057;9.4635;61.1805;906
;1439058;9.482;61.1813;906
;1439059;9.5005;61.182;952
;1439060;9.519;61.1828;1057
;1439061;9.5375;61.1835;1084
;1440230;9.0582;61.1543;682
;1440231;9.0767;61.1551;581
;1440236;9.1691;61.1591;944
;1440237;9.1876;61.1599;1001
;1440238;9.2061;61.1607;911
;1440239;9.2246;61.1615;924
;1440240;9.2431;61.1623;917
;1440241;9.2615;61.1631;891
;1440242;9.28;61.1638;877
;1440243;9.2985;61.1646;882
;1440244;9.317;61.1654;881
;1440245;9.3355;61.1662;912
;1440246;9.354;61.167;873
;1440247;9.3725;61.1677;859
;1440248;9.391;61.1685;861
;1440249;9.4095;61.1693;885
;1440250;9.428;61.17;965
;1440251;9.4465;61.1708;950
;1440252;9.465;61.1716;906
;1440253;9.4835;61.1723;932
;1440254;9.502;61.1731;1023
;1440255;9.5205;61.1738;1102
;1440256;9.539;61.1746;1064
;1441431;9.1708;61.1502;1008
;1441432;9.1892;61.151;931
;1441433;9.2077;61.1518;953
;1441434;9.2262;61.1526;911
;1441435;9.2447;61.1533;947
;1441436;9.2632;61.1541;910
;1441437;9.2817;61.1549;890
;1441438;9.3001;61.1557;904
;1441439;9.3186;61.1565;942
;1441440;9.3371;61.1573;995
;1441441;9.3556;61.158;1041
;1441442;9.3741;61.1588;973
;1441443;9.3926;61.1596;905
;1441444;9.4111;61.1603;862
;1441445;9.4296;61.1611;898
;1441446;9.4481;61.1619;916
;1441447;9.4666;61.1626;940
;1441448;9.4851;61.1634;916
;1441449;9.5036;61.1641;1022
;1441450;9.5221;61.1649;1061
;1441451;9.5406;61.1656;1070
;1441452;9.5591;61.1664;1035
;1442626;9.1724;61.1412;986
;1442627;9.1909;61.142;914
;1442628;9.2094;61.1428;914
;1442629;9.2278;61.1436;914
;1442630;9.2463;61.1444;916
;1442631;9.2648;61.1452;971
;1442632;9.2833;61.146;1019
;1442633;9.3018;61.1468;1001
;1442634;9.3202;61.1475;1028
;1442635;9.3387;61.1483;1032
;1442636;9.3572;61.1491;1052
;1442637;9.3757;61.1499;1058
;1442638;9.3942;61.1506;1030
;1442639;9.4127;61.1514;875
;1442640;9.4312;61.1522;851
;1442641;9.4497;61.1529;870
;1442642;9.4682;61.1537;915
;1442643;9.4867;61.1544;856
;1442644;9.5051;61.1552;1005
;1442645;9.5236;61.156;1030
;1442646;9.5421;61.1567;1006
;1442647;9.5606;61.1574;1021
;1442648;9.5791;61.1582;1033
;1442649;9.5976;61.1589;1169
;1443820;9.1556;61.1315;927
;1443821;9.1741;61.1323;933
;1443822;9.1925;61.1331;923
;1443823;9.211;61.1339;950
;1443824;9.2295;61.1347;990
;1443825;9.248;61.1355;1022
;1443826;9.2664;61.1363;1039
;1443827;9.2849;61.137;1063
;1443828;9.3034;61.1378;1025
;1443829;9.3219;61.1386;1025
;1443830;9.3403;61.1394;1046
;1443831;9.3588;61.1402;1026
;1443832;9.3773;61.1409;1036
;1443833;9.3958;61.1417;1035
;1443834;9.4143;61.1425;944
;1443835;9.4328;61.1432;843
;1443836;9.4512;61.144;818
;1443837;9.4697;61.1448;852
;1443838;9.4882;61.1455;877
;1443839;9.5067;61.1463;915
;1443840;9.5252;61.147;1056
;1443841;9.5437;61.1478;957
;1443842;9.5622;61.1485;1001
;1443843;9.5807;61.1493;1036
;1443844;9.5992;61.15;1071
;1443845;9.6177;61.1507;1171
;1443846;9.6362;61.1515;1124
;1443847;9.6546;61.1522;1117
;1443848;9.6732;61.1529;1162
;1443849;9.6917;61.1537;1211
;1445015;9.1573;61.1226;1003
;1445016;9.1757;61.1234;927
;1445017;9.1942;61.1242;939
;1445018;9.2127;61.125;942
;1445019;9.2311;61.1258;1024
;1445020;9.2496;61.1265;1098
;1445021;9.2681;61.1273;1042
;1445022;9.2865;61.1281;1096
;1445023;9.305;61.1289;1073
;1445024;9.3235;61.1297;1039
;1445025;9.342;61.1305;1050
;1445026;9.3604;61.1312;1000
;1445027;9.3789;61.132;992
;1445028;9.3974;61.1328;992
;1445029;9.4158;61.1335;977
;1445030;9.4343;61.1343;889
;1445031;9.4528;61.1351;820
;1445032;9.4713;61.1358;839
;1445033;9.4898;61.1366;845
;1445034;9.5083;61.1373;866
;1445035;9.5267;61.1381;875
;1445036;9.5452;61.1388;895
;1445037;9.5637;61.1396;944
;1445038;9.5822;61.1403;1061
;1445039;9.6007;61.1411;1085
;1445040;9.6192;61.1418;1127
;1445041;9.6377;61.1425;1112
;1445042;9.6562;61.1433;1061
;1445043;9.6747;61.144;1093
;1445044;9.6931;61.1447;1102
;1445045;9.7116;61.1455;1055
;1446170;8.4214;61.0796;1538
;1446171;8.4398;61.0805;1254
